node_index,node_name,mesh_name,center_x,center_y,center_z,dim_x,dim_y,dim_z,area_xz,likely_floor
4,uranus.prm.004__0,uranus.prm.004__0,0.06431299301536866,-3.849134692999276e-09,0.0003610301808307185,1.6518499482009565,1.6082319853850007,0.0,0.0,False
6,uranus.prm.003__0,uranus.prm.003__0,0.05303979784374959,0.03637326292590524,0.00023875137880945997,1.6518500584318216,1.6082319853850002,0.0,0.0,False
8,venus.prm.007__0,venus.prm.007__0,-1.3309547342486274,3.960728429466158,0.6664129436162791,14.775431173104767,15.286216394166273,8.15034976205298,120.4249319459446,False
10,venus.prm.006__0,venus.prm.006__0,0.08938001800575826,4.17741642564415,0.6664131171273334,14.775425536725939,15.286218726657786,8.150346652941758,120.42484006904444,False
12,venus.prm.005__0,venus.prm.005__0,1.251293869660186,3.98661114996541,0.6664129881215533,14.775428918553235,15.286216394166276,8.150348518408492,120.42489519518035,False
14,venus.prm.004__0,venus.prm.004__0,-0.6949726470169946,4.120172612026198,0.6664115928049145,14.775430045829001,15.286216394166276,8.150349140230736,120.42491357056178,False
16,venus.prm.003__0,venus.prm.003__0,0.08938001800575826,4.17741642564415,0.6664131171273334,14.775425536725939,15.286218726657786,8.150346652941758,120.42484006904444,False
18,venus.prm.002__0,venus.prm.002__0,1.251293869660186,3.98661114996541,0.6664129881215533,14.775428918553235,15.286216394166276,8.150348518408492,120.42489519518035,False
20,venus.prm.001__0,venus.prm.001__0,-1.2058867656160166,4.000579782135924,0.6664134837247911,14.775427791277467,15.286216394166274,8.150347896586247,120.42487681980029,False
22,venus.prm__0,venus.prm__0,2.9247948391882987,2.984021504141925,0.6664117011978462,14.775430045829001,15.286216394166276,8.150349140230736,120.42491357056178,False
24,uranus.prm.002__0,uranus.prm.002__0,-0.04663501572463085,-0.04428844907816959,1.2459787563218443e-08,1.6518499482009565,1.608231985385,0.0,0.0,False
26,uranus.prm.001__0,uranus.prm.001__0,0.00013289864810118142,-0.06431299305270397,0.0003356723085848121,1.651849696148657,1.608231985385,0.0,0.0,False
28,uranus.prm__0,uranus.prm__0,0.015644316842376934,-0.06238225815705234,-2.4132492425244357e-08,1.6518498221748068,1.608231862686637,0.0,0.0,False
30,jailhouse.w.009_Material.009_0,jailhouse.w.009_Material.009_0,-105.74189045112075,-2.965102851115024,-62.8870687795903,204.74152107369468,193.8243975231558,28.138834324356136,5761.187740809365,False
32,jailhouse.w.008_Material.003_0,jailhouse.w.008_Material.003_0,-107.10277365663403,-8.269885218986314,-89.05159075321012,184.858805339214,152.94136945289287,16.600317449860622,3068.714852032942,False
34,jailhouse.w.007_Material.007_0,jailhouse.w.007_Material.007_0,-135.17466719803207,-2.7575263082449992,-52.85328601105981,226.83943622918184,225.27282211319746,25.006081975860543,5672.365537704911,False
36,jailhouse.w.006_Material.008_0,jailhouse.w.006_Material.008_0,-133.8289574273908,-2.4746575889873332,-46.16140302739159,224.8729274077803,253.5275898532362,25.232548149692672,5674.116968379161,False
38,jailhouse.w.005_vcol_0,jailhouse.w.005_vcol_0,-134.3770655309319,-3.06434240651936,-49.901572565010675,269.01520506258584,253.67630963750972,27.300791130197236,7344.327924260834,False
40,jailhouse.w.004_Material.004_0,jailhouse.w.004_Material.004_0,-125.84031038343207,-8.493435502508055,-61.9326248163496,242.19369680746564,229.61420690385526,17.014855186122904,4120.890678170785,False
42,jailhouse.w.003_Material.002_0,jailhouse.w.003_Material.002_0,-136.12895017574087,-3.554671546390496,-56.459597858419656,265.5182106751602,240.56025921046145,30.727856902900545,8158.805582740523,False
44,jailhouse.w.002_Material.005_0,jailhouse.w.002_Material.005_0,-83.718925512159,-15.848549760862875,-24.67006314208818,130.7187585222998,154.55147588510488,19.934971363805868,2605.8747078543006,False
46,jailhouse.w.000_Material.006_0,jailhouse.w.000_Material.006_0,-132.33584775770044,-3.5159369566728977,-10.579319336596912,227.92875734130826,182.41269276113744,27.374169691484344,6239.36048103013,False
48,jailhouse.w.001_Material.001_0,jailhouse.w.001_Material.001_0,-136.3445413631675,-6.293603538081915,-18.90099395005626,219.9113701303741,199.05604108297726,33.89883919286341,7454.740172731818,False
